cod_localidad;localidad;cod_prov;provincia;zona_cod;zona_descr;region_cod;region_descr;amba_interior;region_pais_cod;departamento;cp
252;Ituzaingo;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;Ituzaingó;1714
254;Jesus Maria;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Colón;5264
257;Jose C Paz;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;José C. Paz;1665
340;Maria Teresa;2;Santa Fe;11;Rosario;3;Rosario;INTERIOR;2;General López;2609
214;General Madariaga;14;Buenos Aires;12;Sur;11;Costa;INTERIOR;2;General Juan Madariaga;7163
217;General Pinedo;19;Chaco;8;NEA;4;NEA;INTERIOR;2;12 de Octubre;3732
233;Gualeguay;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;Gualeguay;2840
236;Guaymayen;1;Mendoza;3;Cuyo;1;Cuyo;INTERIOR;2;Guaymayen;5521
241;Hernando;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Tercero Arriba;5929
279;La Paz;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;La Paz;7245
293;Larroque;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;Gualeguaychú;2854
294;Las Breñas;19;Chaco;8;NEA;4;NEA;INTERIOR;2;9 de Julio;5321
309;Lobos;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;Lobos;7240
173;El Palomar;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;Morón;1684
175;El Tio;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;San Justo;4751
178;Ensenada;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;Ensenada;1925
180;Escobar;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Escobar;1625
186;Ezeiza;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;Ezeiza;1804
189;Federal;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;Federal;3180
194;Florencio Varela;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;Florencio Varela;1888
196;Flores;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Comuna 7;1406
197;Floresta;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Comuna 10;1407
208;General Baldissera;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Marcos Juárez;2583
147;Coronel Vidal;14;Buenos Aires;12;Sur;11;Costa;INTERIOR;2;Mar Chiquita;7174
